"","created_at","screen_name","text"
"1",2019-08-19 01:15:58,"LailaliLili","Ini Pakaian Untuk Pria Agar Kencan Sukses #JKTLife https://t.co/ycm3mWVuaB"
"2",2019-08-19 00:15:45,"lowonganbogor","3 Langkah Mudah Melakukan Olahraga Mata #JKTLife https://t.co/DtTmsoEMqt"
"3",2019-08-18 16:01:11,"infojakarta","Ini Pakaian Untuk Pria Agar Kencan Sukses #JKTLife https://t.co/ycm3mWVuaB"
"4",2019-08-13 14:02:15,"infojakarta","Bertemu dengan orang baru dapat menambah wawasan dan pergaulan Anda. Masih ragu? Simak tipsnya disini #JKTLife https://t.co/OeF3nPmbmw"
"5",2019-08-18 12:00:56,"infojakarta","Nonton Teater Ide Kencan Seru yang Bisa Dicoba #JKTLife https://t.co/gDgNtjgO6y"
"6",2019-08-18 14:01:08,"infojakarta","50% Pria Suka Wanita Feminin #JKTLife https://t.co/9r0QL1tpRo"
"7",2019-08-16 15:02:15,"infojakarta","Manfaatkan LinkedIn Untuk UKM #JKTLife https://t.co/6fbNBGdCF7"
"8",2019-08-18 13:01:03,"infojakarta","3 Langkah Mudah Melakukan Olahraga Mata #JKTLife https://t.co/DtTmsoEMqt"
"9",2019-08-13 07:00:42,"infojakarta","5 Hal yang Perlu Dipertimbangkan Sebelum Menyusun Anggaran Keuangan Keluarga #JKTLife https://t.co/1hhVmtxO8V"
"10",2019-08-16 09:00:53,"infojakarta","Alasan Kenapa Pria Mundur Saat Mendekati Wanita #JKTLife https://t.co/cdJPsmWYRe"
"11",2019-08-18 11:00:44,"infojakarta","Sering Berdebat Depan Umum Jadi Alasan Putus Cinta #JKTLife https://t.co/G0lNKGGjD8"
"12",2019-08-16 06:00:29,"infojakarta","6 Cara Agar Tak Mudah Cemburu #JKTLife https://t.co/RnVTv4O5co"
"13",2019-08-13 01:00:30,"infojakarta","Dengarkan Curhat Teman Tentang Cinta Jadi Penyebab Masih <U+201C>Single<U+201D> #JKTLife https://t.co/KQqfccNH4c"
"14",2019-08-18 01:00:23,"infojakarta","8 Pertanyaan Jebak Saat Wawancara Kerja #JKTLife https://t.co/ETRxTGiZ5C"
"15",2019-08-18 00:00:21,"infojakarta","Tipe Bos dan Cara Agar Mendekatinya #JKTLife https://t.co/bBwnodHhIJ"
"16",2019-08-17 23:00:28,"infojakarta","Dilarang Kirim 7 Pesan Ini Kepada Mantan! #JKTLife https://t.co/0MgfjNZJPH"
"17",2019-08-12 15:01:56,"infojakarta","Rambu-rambu Pamer Kemesraan di Sosial Media #JKTLife https://t.co/nKiYLSXTOd"
"18",2019-08-16 14:02:20,"infojakarta","Jangan Rusak Karir Anda Dengan Lima Hal Ini #JKTLife https://t.co/NjFTquBbDT"
"19",2019-08-16 05:00:14,"infojakarta","4 Efek Negatif Terlalu Mencintai Kekasih #JKTLife https://t.co/90ulCoI5Oe"
"20",2019-08-13 13:02:10,"infojakarta","Menjadi sukses memang tidak mudah namun bukan berarti tidak mungkin! Simak tips sukses berikut #JKTLife https://t.co/qbHbUmPWz7"
"21",2019-08-13 08:00:45,"infojakarta","Tanyakan 5 Hal Berikut Pada Diri Sendiri Sebelum Terjebak Diskon #JKTLife https://t.co/K0kaibLCgP"
"22",2019-08-13 09:00:44,"infojakarta","Tipe Kepribadian Dalam Mengelola Keuangan #JKTLife https://t.co/pRze5NRdar"
"23",2019-08-16 07:00:51,"infojakarta","Dampak Buruk Tren Fashion Bagi Kesehatan #JKTLife https://t.co/cmMkMs5VJk"
"24",2019-08-13 03:00:16,"infojakarta","Perhatikan 5 Ciri Tas Palsu #JKTLife https://t.co/3yVOjyWcgH"
"25",2019-08-12 16:02:20,"infojakarta","Cara Mengatur Keuangan Untuk Pasangan Baru Menikah #JKTLife https://t.co/XU7WU56Da0"
"26",2019-08-18 14:06:17,"niken_widhya","50% Pria Suka Wanita Feminin #JKTLife https://t.co/9r0QL1tpRo"
"27",2019-08-13 09:22:01,"niken_widhya","Tipe Kepribadian Dalam Mengelola Keuangan #JKTLife https://t.co/pRze5NRdar"
"28",2019-08-18 11:17:23,"niken_widhya","Sering Berdebat Depan Umum Jadi Alasan Putus Cinta #JKTLife https://t.co/G0lNKGGjD8"
"29",2019-08-13 14:27:22,"niken_widhya","Bertemu dengan orang baru dapat menambah wawasan dan pergaulan Anda. Masih ragu? Simak tipsnya disini #JKTLife https://t.co/OeF3nPmbmw"
"30",2019-08-18 14:05:35,"SyahidaAmalina","Mari para penghuni bumi, saling menjaga bumi kita<U+0001F30E><U+0001F343> #jktlife #geographyteacher https://t.co/pl6YYtq0Id"
"31",2019-08-18 13:06:01,"Wiranu","3 Langkah Mudah Melakukan Olahraga Mata #JKTLife https://t.co/DtTmsoEMqt"
"32",2019-08-18 02:32:53,"diikapoet","8 Pertanyaan Jebak Saat Wawancara Kerja #JKTLife https://t.co/ETRxTGiZ5C"
"33",2019-08-18 01:06:00,"Tiaradwiayuu","8 Pertanyaan Jebak Saat Wawancara Kerja #JKTLife https://t.co/ETRxTGiZ5C"
"34",2019-08-17 10:33:25,"15Masjo","Alasan Kenapa Pria Mundur Saat Mendekati Wanita #JKTLife https://t.co/cdJPsmWYRe"
"35",2019-08-16 16:27:55,"tarilesta","Jangan Rusak Karir Anda Dengan Lima Hal Ini #JKTLife https://t.co/NjFTquBbDT"
"36",2019-08-16 15:05:51,"prasetyonp","Manfaatkan LinkedIn Untuk UKM #JKTLife https://t.co/6fbNBGdCF7"
"37",2019-08-16 14:22:31,"ulvh_","Jangan Rusak Karir Anda Dengan Lima Hal Ini #JKTLife https://t.co/NjFTquBbDT"
"38",2019-08-16 05:40:24,"vkchuuu","4 Efek Negatif Terlalu Mencintai Kekasih #JKTLife https://t.co/90ulCoI5Oe"
"39",2019-08-13 14:03:53,"33_gaganalgarni","Bertemu dengan orang baru dapat menambah wawasan dan pergaulan Anda. Masih ragu? Simak tipsnya disini #JKTLife https://t.co/OeF3nPmbmw"
"40",2019-08-13 13:44:51,"naylapoetry2","Menjadi sukses memang tidak mudah namun bukan berarti tidak mungkin! Simak tips sukses berikut #JKTLife https://t.co/qbHbUmPWz7"
"41",2019-08-13 13:04:39,"LajuPetang","Menjadi sukses memang tidak mudah namun bukan berarti tidak mungkin! Simak tips sukses berikut #JKTLife https://t.co/qbHbUmPWz7"
"42",2019-08-13 08:47:01,"GoldenrulesJong","5 Hal yang Perlu Dipertimbangkan Sebelum Menyusun Anggaran Keuangan Keluarga #JKTLife https://t.co/1hhVmtxO8V"
"43",2019-08-13 07:40:18,"ang_santi1812","5 Hal yang Perlu Dipertimbangkan Sebelum Menyusun Anggaran Keuangan Keluarga #JKTLife https://t.co/1hhVmtxO8V"
"44",2019-08-13 03:34:03,"asprillia21","Perhatikan 5 Ciri Tas Palsu #JKTLife https://t.co/3yVOjyWcgH"
"45",2019-08-13 02:25:06,"Ggerdalia","Cara Mengatur Keuangan Untuk Pasangan Baru Menikah #JKTLife https://t.co/XU7WU56Da0"
"46",2019-08-12 23:41:53,"JoanneElizaa","Cara Mengatur Keuangan Untuk Pasangan Baru Menikah #JKTLife https://t.co/XU7WU56Da0"
"47",2019-08-12 17:04:09,"ricky_rikahan","Cara Mengatur Keuangan Untuk Pasangan Baru Menikah #JKTLife https://t.co/XU7WU56Da0"
"48",2019-08-12 16:12:32,"garrettpopkorn","Cara Mengatur Keuangan Untuk Pasangan Baru Menikah #JKTLife https://t.co/XU7WU56Da0"
"49",2019-08-12 16:09:55,"prayougee","Cara Mengatur Keuangan Untuk Pasangan Baru Menikah #JKTLife https://t.co/XU7WU56Da0"
"50",2019-08-12 15:10:43,"Wikuwiku5","Rambu-rambu Pamer Kemesraan di Sosial Media #JKTLife https://t.co/nKiYLSXTOd"
"51",2019-08-12 15:06:34,"irwantianna","Rambu-rambu Pamer Kemesraan di Sosial Media #JKTLife https://t.co/nKiYLSXTOd"
"52",2019-08-12 14:44:15,"mitalstr","People nowadays<U+0001F445>RT @infojakarta: Akibat Bertengkar Dengan Pasangan di Sosial Media #JKTLife https://t.co/QULAswp2GN"
"53",2019-08-12 14:06:53,"Yorio_yo","Ini Dia Alasan Mengapa Single Adalah Hal Berat Dalam Hidup #JKTLife https://t.co/HmTDbslMca"
"54",2019-08-12 13:36:18,"afifah_luvi135","Akibat Bertengkar Dengan Pasangan di Sosial Media #JKTLife https://t.co/BYrc3cC5VH"
